CODE,II1,II2,II3,II4,IM1,IM2,IM3,IM4,IM5,IS1,IS2,IS3,IS4,IC1,IC2,IC3,IC4,OI1,OI2,OI3,OI4,II,IM,IS,IC,OI,EC1,EC2,EC3,EC4,EC5,EC6,EC,INM1,INM2,INM3,INM4
107,3,3,3,2,3,4,4,4,4,3,2,3,3,3,3,4,3,4,4,4,4,2.750,3.800,2.750,3.250,4.000,2,2,2,2,3,3,2.333333333333330,2.00000,1.00000,2.00000,1.00000
108,3,3,4,3,3,4,3,4,4,5,5,5,5,3,3,3,3,4,4,3,4,3.250,3.600,5.000,3.000,3.750,4,4,3,4,5,4,4.000000000000000,4.00000,3.00000,3.00000,3.00000
109,3,3,3,3,3,3,4,4,3,4,3,4,3,3,3,3,3,3,3,3,4,3.000,3.400,3.500,3.000,3.250,3,3,3,3,4,4,3.333333333333330,3.00000,3.00000,2.00000,3.00000
110,4,4,4,4,2,2,2,2,3,3,3,3,3,3,2,3,3,2,2,3,3,4.000,2.200,3.000,2.750,2.500,2,2,2,2,3,3,2.333333333333330,2.00000,2.00000,2.00000,2.00000
111,2,2,2,2,2,2,2,3,2,4,2,3,4,2,2,3,2,2,2,2,3,2.000,2.200,3.250,2.250,2.250,2,2,2,2,3,3,2.333333333333330,1.00000,2.00000,2.00000,2.00000
112,3,3,4,3,2,2,2,2,2,2,2,2,3,3,3,4,3,2,3,3,3,3.250,2.000,2.250,3.250,2.750,1,2,2,2,3,3,2.166666666666670,2.00000,2.00000,2.00000,2.00000
113,3,3,4,4,3,4,4,4,4,5,4,5,4,5,5,4,4,5,4,5,5,3.500,3.800,4.500,4.500,4.750,4,4,4,4,5,5,4.333333333333330,5.00000,3.00000,3.00000,3.00000
114,4,4,3,3,2,3,3,4,3,3,2,2,2,3,3,3,3,3,3,3,3,3.500,3.000,2.250,3.000,3.000,2,3,3,3,4,4,3.166666666666670,3.00000,3.00000,2.00000,3.00000
115,3,3,4,3,2,2,2,3,2,3,3,3,4,4,4,4,3,3,3,3,3,3.250,2.200,3.250,3.750,3.000,2,2,2,2,3,3,2.333333333333330,2.00000,3.00000,2.00000,3.00000
116,4,4,4,3,3,3,4,4,4,5,3,4,4,4,5,5,4,4,4,3,4,3.750,3.600,4.000,4.500,3.750,4,4,3,4,5,5,4.166666666666670,5.00000,3.00000,3.00000,3.00000
117,4,3,3,3,3,4,4,4,4,3,2,3,3,3,4,3,3,4,3,4,4,3.250,3.800,2.750,3.250,3.750,3,3,3,3,4,4,3.333333333333330,3.00000,3.00000,3.00000,3.00000
118,4,4,5,4,3,3,3,4,3,4,4,4,4,4,3,3,4,4,5,5,4,4.250,3.200,4.000,3.500,4.500,4,4,4,4,5,5,4.333333333333330,5.00000,3.00000,3.00000,3.00000
119,3,4,3,3,3,3,3,3,3,3,3,3,3,5,4,3,4,3,4,3,3,3.250,3.000,3.000,4.000,3.250,3,3,3,3,4,4,3.333333333333330,3.00000,3.00000,2.00000,2.00000
120,4,3,3,3,2,3,3,3,3,3,2,3,3,3,3,4,3,3,4,3,3,3.250,2.800,2.750,3.250,3.250,2,3,3,2,4,3,2.833333333333330,2.00000,2.00000,2.00000,2.00000
121,3,3,3,3,3,3,3,3,4,3,2,3,2,3,4,4,4,3,3,4,3,3.000,3.200,2.500,3.750,3.250,2,2,2,2,3,3,2.333333333333330,2.00000,3.00000,3.00000,3.00000
122,3,3,3,4,1,1,3,2,2,4,3,4,4,2,3,3,3,3,2,3,2,3.250,1.800,3.750,2.750,2.500,1,2,1,1,3,2,1.666666666666670,2.00000,2.00000,2.00000,2.00000
123,3,3,3,3,4,3,4,4,4,1,2,2,3,3,4,4,4,3,3,3,3,3.000,3.800,2.000,3.750,3.000,2,3,3,2,4,3,2.833333333333330,3.00000,2.00000,2.00000,2.00000
124,2,3,3,3,3,3,4,3,4,4,2,3,3,2,3,3,3,3,3,3,3,2.750,3.400,3.000,2.750,3.000,2,2,2,2,3,3,2.333333333333330,2.00000,3.00000,2.00000,2.00000
125,4,4,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3.750,2.600,3.000,3.000,2.750,3,3,3,3,4,4,3.333333333333330,3.00000,3.00000,2.00000,2.00000
126,3,2,2,2,3,3,3,3,3,4,3,3,4,4,3,3,3,4,3,4,4,2.250,3.000,3.500,3.250,3.750,3,3,2,3,4,4,3.166666666666670,3.00000,2.00000,2.00000,2.00000
127,3,3,4,2,2,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3.000,2.600,3.000,2.500,3.000,2,2,3,2,4,3,2.666666666666670,2.00000,2.00000,1.00000,1.00000
128,3,3,3,2,3,3,4,4,4,4,3,3,3,4,3,3,2,3,2,3,4,2.750,3.600,3.250,3.000,3.000,3,2,2,3,4,4,3.000000000000000,3.00000,2.00000,2.00000,2.00000
129,5,5,4,5,3,4,4,4,4,4,3,5,3,4,2,3,3,4,4,4,4,4.750,3.800,3.750,3.000,4.000,4,4,3,4,5,5,4.166666666666670,5.00000,2.00000,3.00000,3.00000
130,2,3,3,3,3,3,4,4,4,4,3,4,4,4,4,3,3,3,4,3,3,2.750,3.600,3.750,3.500,3.250,3,3,3,3,4,4,3.333333333333330,3.00000,2.00000,2.00000,2.00000
131,2,2,2,1,2,2,3,3,3,4,2,3,4,2,3,3,3,4,3,3,4,1.750,2.600,3.250,2.750,3.500,2,2,2,2,3,3,2.333333333333330,1.00000,2.00000,1.00000,1.00000
132,2,3,3,2,3,2,3,3,3,4,3,3,3,4,3,4,4,2,3,3,3,2.500,2.800,3.250,3.750,2.750,2,2,2,2,3,3,2.333333333333330,2.00000,2.00000,2.00000,2.00000
133,3,3,3,4,2,3,3,3,3,3,2,3,2,4,3,4,3,2,3,3,2,3.250,2.800,2.500,3.500,2.500,2,3,3,3,4,4,3.166666666666670,3.00000,3.00000,2.00000,2.00000
134,3,3,3,3,2,3,3,3,3,2,2,2,3,3,2,3,3,2,2,3,2,3.000,2.800,2.250,2.750,2.250,2,2,2,2,3,3,2.333333333333330,2.00000,2.00000,2.00000,2.00000
135,4,3,4,3,3,3,3,3,3,2,2,2,2,3,4,4,4,3,3,3,4,3.500,3.000,2.000,3.750,3.250,2,2,2,2,4,3,2.500000000000000,2.00000,2.00000,2.00000,2.00000
136,4,4,5,4,3,4,4,4,4,4,3,4,4,3,4,4,4,3,3,4,4,4.250,3.800,3.750,3.750,3.500,3,3,4,3,4,4,3.500000000000000,4.00000,3.00000,3.00000,3.00000
137,3,4,3,3,4,3,4,3,3,3,2,3,3,4,4,3,4,3,2,3,2,3.250,3.400,2.750,3.750,2.500,2,2,2,2,4,3,2.500000000000000,3.00000,2.00000,2.00000,2.00000
138,2,3,2,3,3,3,4,3,4,3,3,3,3,3,3,2,3,2,3,3,3,2.500,3.400,3.000,2.750,2.750,2,2,2,2,3,3,2.333333333333330,2.00000,2.00000,3.00000,3.00000
139,3,3,3,3,2,2,3,2,3,5,4,3,5,3,3,3,3,3,3,3,3,3.000,2.400,4.250,3.000,3.000,2,2,2,2,3,3,2.333333333333330,2.00000,2.00000,2.00000,2.00000
140,3,4,3,3,3,2,3,3,3,3,2,3,3,4,4,3,3,4,3,3,4,3.250,2.800,2.750,3.500,3.500,2,2,3,2,4,3,2.666666666666670,3.00000,2.00000,2.00000,2.00000
141,4,4,3,4,2,3,4,4,3,3,2,3,3,3,3,4,3,3,4,4,3,3.750,3.200,2.750,3.250,3.500,3,2,3,3,4,4,3.166666666666670,3.00000,2.00000,2.00000,2.00000
142,4,4,3,4,4,3,3,4,4,3,2,3,3,2,3,3,3,4,4,3,2,3.750,3.600,2.750,2.750,3.250,2,2,2,2,3,3,2.333333333333330,3.00000,2.00000,2.00000,2.00000
143,3,4,4,4,3,3,3,3,3,4,4,4,5,4,4,5,4,4,4,4,3,3.750,3.000,4.250,4.250,3.750,3,3,4,3,5,4,3.666666666666670,4.00000,3.00000,2.00000,2.00000
144,3,1,2,3,2,3,3,3,3,3,2,3,3,3,4,4,3,3,3,3,3,2.250,2.800,2.750,3.500,3.000,2,2,2,2,3,3,2.333333333333330,2.00000,2.00000,2.00000,2.00000
145,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,2.500,2.800,3.000,2.750,3.250,2,1,2,2,3,3,2.166666666666670,2.00000,2.00000,2.00000,2.00000
146,4,4,3,4,3,3,3,4,4,5,3,4,4,4,4,4,3,3,4,4,3,3.750,3.400,4.000,3.750,3.500,3,3,3,3,4,4,3.333333333333330,4.00000,2.00000,2.00000,2.00000
147,3,3,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3.250,2.600,3.000,3.000,2.750,2,2,2,2,3,3,2.333333333333330,2.00000,2.00000,3.00000,3.00000
148,3,2,3,3,2,1,3,2,3,3,3,4,4,3,3,2,2,1,2,2,2,2.750,2.200,3.500,2.500,1.750,2,2,2,2,3,3,2.333333333333330,2.00000,2.00000,2.00000,2.00000
149,5,5,4,4,3,2,3,4,4,3,3,3,3,4,3,4,4,4,4,4,5,4.500,3.200,3.000,3.750,4.250,3,3,3,3,4,4,3.333333333333330,4.00000,2.00000,2.00000,2.00000
150,3,3,3,2,3,3,3,4,2,3,2,3,3,3,4,4,3,3,4,3,4,2.750,3.000,2.750,3.500,3.500,3,3,3,2,4,3,3.000000000000000,3.00000,2.00000,2.00000,2.00000
151,3,4,4,3,3,3,3,3,3,5,4,4,4,3,4,4,4,4,4,4,3,3.500,3.000,4.250,3.750,3.750,3,3,3,3,4,4,3.333333333333330,4.00000,2.00000,2.00000,2.00000
152,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,4,3.000,3.200,3.250,3.000,3.250,3,2,2,3,4,4,3.000000000000000,3.00000,2.00000,2.00000,2.00000
153,4,4,4,4,2,4,4,4,3,4,3,4,5,4,4,4,4,4,4,5,4,4.000,3.400,4.000,4.000,4.250,4,3,4,4,5,5,4.166666666666670,5.00000,2.00000,2.00000,2.00000
154,3,3,4,4,2,3,3,3,2,3,3,3,3,3,3,3,3,2,2,1,2,3.500,2.600,3.000,3.000,1.750,3,3,2,3,4,4,3.166666666666670,3.00000,2.00000,2.00000,2.00000
155,3,4,3,4,2,3,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,3.500,3.400,4.000,3.500,3.750,3,3,3,3,4,4,3.333333333333330,4.00000,2.00000,2.00000,2.00000
156,3,4,3,3,3,3,3,4,4,3,2,2,3,2,3,2,2,4,4,5,3,3.250,3.400,2.500,2.250,4.000,2,2,2,2,4,3,2.500000000000000,2.00000,2.00000,2.00000,2.00000
157,3,5,4,4,3,2,3,4,3,3,2,3,3,4,4,4,4,4,5,3,4,4.000,3.000,2.750,4.000,4.000,3,3,3,3,4,4,3.333333333333330,4.00000,2.00000,3.00000,3.00000
158,4,3,4,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3.500,2.600,2.750,3.000,2.750,2,2,2,2,3,3,2.333333333333330,2.00000,2.00000,3.00000,3.00000
159,4,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.500,2.800,3.000,3.000,3.000,3,3,3,3,3,4,3.166666666666670,3.00000,2.00000,2.00000,2.00000
160,2,3,2,3,3,3,4,4,4,3,3,3,3,3,3,3,2,2,2,3,3,2.500,3.600,3.000,2.750,2.500,3,3,2,2,4,3,2.833333333333330,2.00000,2.00000,3.00000,3.00000
161,3,3,3,2,3,3,3,3,3,4,3,3,3,4,3,4,4,4,2,3,4,2.750,3.000,3.250,3.750,3.250,2,2,2,2,3,3,2.333333333333330,3.00000,2.00000,2.00000,2.00000
162,2,2,3,2,3,3,4,3,3,4,3,3,3,4,4,3,4,4,3,4,4,2.250,3.200,3.250,3.750,3.750,3,3,3,3,4,4,3.333333333333330,3.00000,2.00000,2.00000,2.00000
163,3,4,3,3,2,3,4,4,3,3,2,4,3,3,4,4,4,4,4,3,4,3.250,3.200,3.000,3.750,3.750,3,2,3,3,4,4,3.166666666666670,3.00000,2.00000,2.00000,2.00000
